S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4015,29/07/2020,Dadra and Nagar Haveli and Daman and Diu,982,384,596,2
4016,30/07/2020,Dadra and Nagar Haveli and Daman and Diu,1026,376,648,2
4017,31/07/2020,Dadra and Nagar Haveli and Daman and Diu,1064,394,668,2
4018,01/08/2020,Dadra and Nagar Haveli and Daman and Diu,1100,412,686,2
4019,02/08/2020,Dadra and Nagar Haveli and Daman and Diu,1145,418,725,2
4020,03/08/2020,Dadra and Nagar Haveli and Daman and Diu,1184,416,766,2
4021,04/08/2020,Dadra and Nagar Haveli and Daman and Diu,1274,412,860,2
4022,05/08/2020,Dadra and Nagar Haveli and Daman and Diu,1325,404,919,2
4023,06/08/2020,Dadra and Nagar Haveli and Daman and Diu,1366,404,960,2
4024,07/08/2020,Dadra and Nagar Haveli and Daman and Diu,1391,416,973,2
4025,08/08/2020,Dadra and Nagar Haveli and Daman and Diu,1437,421,1014,2
4026,09/08/2020,Dadra and Nagar Haveli and Daman and Diu,1456,417,1037,2
4027,10/08/2020,Dadra and Nagar Haveli and Daman and Diu,1564,441,1121,2
4028,11/08/2020,Dadra and Nagar Haveli and Daman and Diu,1613,444,1167,2
4029,12/08/2020,Dadra and Nagar Haveli and Daman and Diu,1653,442,1209,2
4030,13/08/2020,Dadra and Nagar Haveli and Daman and Diu,1696,446,1248,2
4031,14/08/2020,Dadra and Nagar Haveli and Daman and Diu,1752,458,1292,2
4032,15/08/2020,Dadra and Nagar Haveli and Daman and Diu,1797,464,1331,2
4033,16/08/2020,Dadra and Nagar Haveli and Daman and Diu,1843,457,1384,2
4034,17/08/2020,Dadra and Nagar Haveli and Daman and Diu,1878,445,1431,2
4035,18/08/2020,Dadra and Nagar Haveli and Daman and Diu,1908,447,1459,2
4036,19/08/2020,Dadra and Nagar Haveli and Daman and Diu,1951,425,1524,2
4037,20/08/2020,Dadra and Nagar Haveli and Daman and Diu,1995,389,1604,2
4038,21/08/2020,Dadra and Nagar Haveli and Daman and Diu,2030,401,1627,2
4039,22/08/2020,Dadra and Nagar Haveli and Daman and Diu,2082,428,1652,2
4040,23/08/2020,Dadra and Nagar Haveli and Daman and Diu,2120,416,1702,2
4041,24/08/2020,Dadra and Nagar Haveli and Daman and Diu,2161,406,1753,2
4042,25/08/2020,Dadra and Nagar Haveli and Daman and Diu,2181,393,1786,2
4043,26/08/2020,Dadra and Nagar Haveli and Daman and Diu,2203,381,1820,2
4044,27/08/2020,Dadra and Nagar Haveli and Daman and Diu,2228,364,1862,2
4045,28/08/2020,Dadra and Nagar Haveli and Daman and Diu,2266,348,1916,2
4046,29/08/2020,Dadra and Nagar Haveli and Daman and Diu,2290,328,1960,2
4047,30/08/2020,Dadra and Nagar Haveli and Daman and Diu,2306,306,1998,2
4048,31/08/2020,Dadra and Nagar Haveli and Daman and Diu,2340,296,2042,2
4049,01/09/2020,Dadra and Nagar Haveli and Daman and Diu,2367,284,2081,2
4050,02/09/2020,Dadra and Nagar Haveli and Daman and Diu,2386,262,2122,2
4051,03/09/2020,Dadra and Nagar Haveli and Daman and Diu,2435,292,2141,2
4052,04/09/2020,Dadra and Nagar Haveli and Daman and Diu,2450,294,2154,2
4053,05/09/2020,Dadra and Nagar Haveli and Daman and Diu,2467,285,2180,2
4054,06/09/2020,Dadra and Nagar Haveli and Daman and Diu,2537,301,2234,2
4055,07/09/2020,Dadra and Nagar Haveli and Daman and Diu,2575,302,2271,2
4056,08/09/2020,Dadra and Nagar Haveli and Daman and Diu,2590,297,2291,2
4057,09/09/2020,Dadra and Nagar Haveli and Daman and Diu,2617,294,2321,2
4058,10/09/2020,Dadra and Nagar Haveli and Daman and Diu,2643,295,2346,2
4059,11/09/2020,Dadra and Nagar Haveli and Daman and Diu,2671,294,2375,2
4060,12/09/2020,Dadra and Nagar Haveli and Daman and Diu,2695,280,2413,2
4061,13/09/2020,Dadra and Nagar Haveli and Daman and Diu,2725,279,2444,2
4062,14/09/2020,Dadra and Nagar Haveli and Daman and Diu,2745,255,2488,2
4063,15/09/2020,Dadra and Nagar Haveli and Daman and Diu,2763,248,2513,2
4064,16/09/2020,Dadra and Nagar Haveli and Daman and Diu,2783,229,2552,2
4065,17/09/2020,Dadra and Nagar Haveli and Daman and Diu,2810,233,2575,2
4066,18/09/2020,Dadra and Nagar Haveli and Daman and Diu,2831,221,2608,2
4067,19/09/2020,Dadra and Nagar Haveli and Daman and Diu,2859,218,2639,2
4068,20/09/2020,Dadra and Nagar Haveli and Daman and Diu,2887,208,2677,2
4069,21/09/2020,Dadra and Nagar Haveli and Daman and Diu,2924,229,2693,2
4070,22/09/2020,Dadra and Nagar Haveli and Daman and Diu,2933,220,2711,2
4071,23/09/2020,Dadra and Nagar Haveli and Daman and Diu,2944,198,2744,2
4072,24/09/2020,Dadra and Nagar Haveli and Daman and Diu,2962,205,2755,2
4073,25/09/2020,Dadra and Nagar Haveli and Daman and Diu,2977,190,2785,2
4074,26/09/2020,Dadra and Nagar Haveli and Daman and Diu,2989,182,2805,2
4075,27/09/2020,Dadra and Nagar Haveli and Daman and Diu,2996,163,2831,2
4076,28/09/2020,Dadra and Nagar Haveli and Daman and Diu,3002,152,2848,2
4077,29/09/2020,Dadra and Nagar Haveli and Daman and Diu,3012,133,2877,2
4078,30/09/2020,Dadra and Nagar Haveli and Daman and Diu,3032,120,2910,2
4079,01/10/2020,Dadra and Nagar Haveli and Daman and Diu,3040,109,2929,2
4080,02/10/2020,Dadra and Nagar Haveli and Daman and Diu,3054,113,2939,2
4081,03/10/2020,Dadra and Nagar Haveli and Daman and Diu,3061,100,2959,2
4082,04/10/2020,Dadra and Nagar Haveli and Daman and Diu,3070,101,2967,2
4083,05/10/2020,Dadra and Nagar Haveli and Daman and Diu,3087,105,2980,2
4084,06/10/2020,Dadra and Nagar Haveli and Daman and Diu,3092,99,2991,2
4085,07/10/2020,Dadra and Nagar Haveli and Daman and Diu,3103,101,3000,2
4086,08/10/2020,Dadra and Nagar Haveli and Daman and Diu,3120,108,3010,2
4087,09/10/2020,Dadra and Nagar Haveli and Daman and Diu,3132,105,3025,2
4088,10/10/2020,Dadra and Nagar Haveli and Daman and Diu,3140,101,3037,2
4089,11/10/2020,Dadra and Nagar Haveli and Daman and Diu,3152,100,3050,2
4090,12/10/2020,Dadra and Nagar Haveli and Daman and Diu,3163,102,3059,2
4091,13/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,102,3064,2
4092,14/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,85,3081,2
4093,15/10/2020,Dadra and Nagar Haveli and Daman and Diu,3171,79,3090,2
4094,16/10/2020,Dadra and Nagar Haveli and Daman and Diu,3172,71,3099,2
4095,17/10/2020,Dadra and Nagar Haveli and Daman and Diu,3177,66,3109,2
4096,18/10/2020,Dadra and Nagar Haveli and Daman and Diu,3180,59,3119,2
4097,19/10/2020,Dadra and Nagar Haveli and Daman and Diu,3183,54,3127,2
4098,20/10/2020,Dadra and Nagar Haveli and Daman and Diu,3185,43,3140,2
4099,21/10/2020,Dadra and Nagar Haveli and Daman and Diu,3194,39,3153,2
4100,22/10/2020,Dadra and Nagar Haveli and Daman and Diu,3207,44,3161,2
4101,23/10/2020,Dadra and Nagar Haveli and Daman and Diu,3213,47,3164,2
4102,24/10/2020,Dadra and Nagar Haveli and Daman and Diu,3220,51,3167,2
4103,25/10/2020,Dadra and Nagar Haveli and Daman and Diu,3225,50,3173,2
4104,26/10/2020,Dadra and Nagar Haveli and Daman and Diu,3228,51,3175,2
4105,27/10/2020,Dadra and Nagar Haveli and Daman and Diu,3228,50,3176,2
4106,28/10/2020,Dadra and Nagar Haveli and Daman and Diu,3231,48,3181,2
4107,29/10/2020,Dadra and Nagar Haveli and Daman and Diu,3237,51,3184,2
4108,30/10/2020,Dadra and Nagar Haveli and Daman and Diu,3243,49,3192,2
4109,31/10/2020,Dadra and Nagar Haveli and Daman and Diu,3248,49,3197,2
4110,01/11/2020,Dadra and Nagar Haveli and Daman and Diu,3251,39,3210,2
4111,02/11/2020,Dadra and Nagar Haveli and Daman and Diu,3255,34,3219,2
4112,03/11/2020,Dadra and Nagar Haveli and Daman and Diu,3257,34,3221,2
4113,04/11/2020,Dadra and Nagar Haveli and Daman and Diu,3257,30,3225,2
4114,05/11/2020,Dadra and Nagar Haveli and Daman and Diu,3262,32,3228,2
4115,06/11/2020,Dadra and Nagar Haveli and Daman and Diu,3268,36,3230,2
4116,07/11/2020,Dadra and Nagar Haveli and Daman and Diu,3272,37,3233,2
4117,08/11/2020,Dadra and Nagar Haveli and Daman and Diu,3273,32,3239,2
4118,09/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,26,3246,2
4119,10/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,23,3249,2
4120,11/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,20,3253,2
4121,12/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,18,3255,2
4122,13/11/2020,Dadra and Nagar Haveli and Daman and Diu,3278,21,3255,2
4123,14/11/2020,Dadra and Nagar Haveli and Daman and Diu,3281,20,3259,2
4124,15/11/2020,Dadra and Nagar Haveli and Daman and Diu,3285,20,3263,2
4125,16/11/2020,Dadra and Nagar Haveli and Daman and Diu,3291,22,3267,2
4126,17/11/2020,Dadra and Nagar Haveli and Daman and Diu,3294,19,3273,2
4127,18/11/2020,Dadra and Nagar Haveli and Daman and Diu,3297,21,3274,2
4128,19/11/2020,Dadra and Nagar Haveli and Daman and Diu,3305,29,3274,2
4129,20/11/2020,Dadra and Nagar Haveli and Daman and Diu,3307,31,3274,2
4130,21/11/2020,Dadra and Nagar Haveli and Daman and Diu,3316,39,3275,2
4131,22/11/2020,Dadra and Nagar Haveli and Daman and Diu,3317,39,3276,2
4132,23/11/2020,Dadra and Nagar Haveli and Daman and Diu,3321,39,3280,2
4133,24/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,40,3283,2
4134,25/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,37,3286,2
4135,26/11/2020,Dadra and Nagar Haveli and Daman and Diu,3327,35,3290,2
4136,27/11/2020,Dadra and Nagar Haveli and Daman and Diu,3328,33,3293,2
4137,28/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,27,3301,2
4138,29/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,23,3305,2
4139,30/11/2020,Dadra and Nagar Haveli and Daman and Diu,3332,22,3308,2
4140,01/12/2020,Dadra and Nagar Haveli and Daman and Diu,3332,16,3314,2
4141,02/12/2020,Dadra and Nagar Haveli and Daman and Diu,3334,15,3317,2
4142,03/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,16,3322,2
4143,04/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,14,3324,2
4144,05/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,12,3326,2
4145,06/12/2020,Dadra and Nagar Haveli and Daman and Diu,3341,13,3326,2
4146,07/12/2020,Dadra and Nagar Haveli and Daman and Diu,3342,14,3326,2
4147,08/12/2020,Dadra and Nagar Haveli and Daman and Diu,3346,16,3328,2
4148,09/12/2020,Dadra and Nagar Haveli and Daman and Diu,3351,19,3330,2
4149,10/12/2020,Dadra and Nagar Haveli and Daman and Diu,3354,21,3331,2
4150,11/12/2020,Dadra and Nagar Haveli and Daman and Diu,3354,20,3332,2
4151,12/12/2020,Dadra and Nagar Haveli and Daman and Diu,3355,18,3335,2
4152,13/12/2020,Dadra and Nagar Haveli and Daman and Diu,3356,17,3337,2
4153,14/12/2020,Dadra and Nagar Haveli and Daman and Diu,3356,17,3337,2
4154,15/12/2020,Dadra and Nagar Haveli and Daman and Diu,3359,19,3338,2
4155,17/12/2020,Dadra and Nagar Haveli and Daman and Diu,3360,16,3342,2
4156,18/12/2020,Dadra and Nagar Haveli and Daman and Diu,3361,15,3344,2
4157,19/12/2020,Dadra and Nagar Haveli and Daman and Diu,3362,10,3350,2
4158,20/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,9,3352,2
4159,21/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,9,3352,2
4160,22/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,7,3354,2
4161,23/12/2020,Dadra and Nagar Haveli and Daman and Diu,3364,5,3357,2
4162,24/12/2020,Dadra and Nagar Haveli and Daman and Diu,3365,6,3357,2
4163,25/12/2020,Dadra and Nagar Haveli and Daman and Diu,3367,8,3357,2
4164,26/12/2020,Dadra and Nagar Haveli and Daman and Diu,3370,11,3357,2
4165,27/12/2020,Dadra and Nagar Haveli and Daman and Diu,3372,8,3362,2
4166,28/12/2020,Dadra and Nagar Haveli and Daman and Diu,3373,9,3362,2
4167,29/12/2020,Dadra and Nagar Haveli and Daman and Diu,3374,9,3363,2
4168,30/12/2020,Dadra and Nagar Haveli and Daman and Diu,3375,9,3364,2
4169,31/12/2020,Dadra and Nagar Haveli and Daman and Diu,3375,9,3364,2
4170,03/01/2021,Dadra and Nagar Haveli and Daman and Diu,3378,11,3365,2
4171,04/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,9,3368,2
4172,05/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,8,3369,2
4173,06/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,7,3370,2
4174,07/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,5,3372,2
4175,08/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,5,3372,2
4176,09/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,5,3373,2
4177,10/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,4,3374,2
4178,11/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,2,3376,2
4179,12/01/2021,Dadra and Nagar Haveli and Daman and Diu,3382,4,3376,2
4180,13/01/2021,Dadra and Nagar Haveli and Daman and Diu,3382,4,3376,2
4181,14/01/2021,Dadra and Nagar Haveli and Daman and Diu,3383,4,3377,2
4182,15/01/2021,Dadra and Nagar Haveli and Daman and Diu,3385,6,3377,2
4183,16/01/2021,Dadra and Nagar Haveli and Daman and Diu,3388,9,3377,2
4184,17/01/2021,Dadra and Nagar Haveli and Daman and Diu,3388,9,3377,2
4185,18/01/2021,Dadra and Nagar Haveli and Daman and Diu,3390,11,3377,2
4186,19/01/2021,Dadra and Nagar Haveli and Daman and Diu,3390,11,3377,2
4187,20/01/2021,Dadra and Nagar Haveli and Daman and Diu,3391,9,3380,2
4188,21/01/2021,Dadra and Nagar Haveli and Daman and Diu,3393,11,3380,2
4189,22/01/2021,Dadra and Nagar Haveli and Daman and Diu,3393,10,3381,2
4190,23/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,10,3382,2
4191,24/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,10,3382,2
4192,25/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,6,3386,2
4193,27/01/2021,Dadra and Nagar Haveli and Daman and Diu,3395,5,3388,2
4194,28/01/2021,Dadra and Nagar Haveli and Daman and Diu,3396,6,3388,2
4195,29/01/2021,Dadra and Nagar Haveli and Daman and Diu,3397,7,3388,2
4196,30/01/2021,Dadra and Nagar Haveli and Daman and Diu,3398,8,3388,2
4197,31/01/2021,Dadra and Nagar Haveli and Daman and Diu,3398,6,3390,2
4198,01/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,6,3390,2
4199,02/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,5,3391,2
4200,03/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
4201,04/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
4202,05/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
4203,06/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,2,3394,2
4204,07/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,1,3395,2
4205,08/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,1,3395,2
4206,09/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
4207,10/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
4208,11/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
4209,12/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
4210,13/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
4211,14/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
4212,15/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
4213,16/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
4214,17/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
4215,18/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
4216,19/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
4217,20/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
4218,21/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
4219,22/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
4220,23/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
4221,24/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,2,3398,2
4222,25/02/2021,Dadra and Nagar Haveli and Daman and Diu,3404,4,3398,2
4223,26/02/2021,Dadra and Nagar Haveli and Daman and Diu,3405,5,3398,2
4224,27/02/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
4225,01/03/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
4226,02/03/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
4227,03/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
4228,04/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
4229,06/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
4230,07/03/2021,Dadra and Nagar Haveli and Daman and Diu,3409,5,3402,2
4231,08/03/2021,Dadra and Nagar Haveli and Daman and Diu,3416,12,3402,2
4232,09/03/2021,Dadra and Nagar Haveli and Daman and Diu,3421,17,3402,2
4233,10/03/2021,Dadra and Nagar Haveli and Daman and Diu,3423,17,3404,2
4234,11/03/2021,Dadra and Nagar Haveli and Daman and Diu,3426,20,3404,2
4235,13/03/2021,Dadra and Nagar Haveli and Daman and Diu,3431,24,3405,2
4236,14/03/2021,Dadra and Nagar Haveli and Daman and Diu,3435,28,3405,2
4237,15/03/2021,Dadra and Nagar Haveli and Daman and Diu,3438,31,3405,2
4238,16/03/2021,Dadra and Nagar Haveli and Daman and Diu,3440,31,3407,2
4239,17/03/2021,Dadra and Nagar Haveli and Daman and Diu,3445,27,3416,2
4240,18/03/2021,Dadra and Nagar Haveli and Daman and Diu,3445,26,3417,2
4241,19/03/2021,Dadra and Nagar Haveli and Daman and Diu,3454,30,3422,2
4242,20/03/2021,Dadra and Nagar Haveli and Daman and Diu,3464,38,3424,2
4243,21/03/2021,Dadra and Nagar Haveli and Daman and Diu,3471,44,3425,2
4244,22/03/2021,Dadra and Nagar Haveli and Daman and Diu,3481,52,3427,2
4245,23/03/2021,Dadra and Nagar Haveli and Daman and Diu,3485,52,3431,2
4246,24/03/2021,Dadra and Nagar Haveli and Daman and Diu,3495,60,3433,2
4247,25/03/2021,Dadra and Nagar Haveli and Daman and Diu,3510,70,3438,2
4248,27/03/2021,Dadra and Nagar Haveli and Daman and Diu,3554,109,3443,2
4249,28/03/2021,Dadra and Nagar Haveli and Daman and Diu,3580,130,3448,2
4250,29/03/2021,Dadra and Nagar Haveli and Daman and Diu,3607,147,3458,2
4251,30/03/2021,Dadra and Nagar Haveli and Daman and Diu,3623,158,3463,2
4252,31/03/2021,Dadra and Nagar Haveli and Daman and Diu,3642,166,3474,2
4253,01/04/2021,Dadra and Nagar Haveli and Daman and Diu,3661,177,3482,2
4254,02/04/2021,Dadra and Nagar Haveli and Daman and Diu,3683,191,3490,2
4255,03/04/2021,Dadra and Nagar Haveli and Daman and Diu,3703,202,3499,2
4256,04/04/2021,Dadra and Nagar Haveli and Daman and Diu,3719,199,3518,2
4257,05/04/2021,Dadra and Nagar Haveli and Daman and Diu,3744,204,3538,2
4258,06/04/2021,Dadra and Nagar Haveli and Daman and Diu,3770,212,3556,2
4259,07/04/2021,Dadra and Nagar Haveli and Daman and Diu,3788,196,3590,2
4260,08/04/2021,Dadra and Nagar Haveli and Daman and Diu,3812,191,3619,2
4261,09/04/2021,Dadra and Nagar Haveli and Daman and Diu,3842,209,3631,2
4262,10/04/2021,Dadra and Nagar Haveli and Daman and Diu,3884,230,3652,2
4263,11/04/2021,Dadra and Nagar Haveli and Daman and Diu,4014,345,3667,2
4264,12/04/2021,Dadra and Nagar Haveli and Daman and Diu,4083,394,3687,2
4265,13/04/2021,Dadra and Nagar Haveli and Daman and Diu,4209,501,3706,2
4266,14/04/2021,Dadra and Nagar Haveli and Daman and Diu,4307,578,3727,2
4267,15/04/2021,Dadra and Nagar Haveli and Daman and Diu,4420,662,3756,2
4268,16/04/2021,Dadra and Nagar Haveli and Daman and Diu,4523,749,3770,4
4269,17/04/2021,Dadra and Nagar Haveli and Daman and Diu,4681,879,3798,4
4270,18/04/2021,Dadra and Nagar Haveli and Daman and Diu,4748,921,3823,4
4271,19/04/2021,Dadra and Nagar Haveli and Daman and Diu,4803,923,3876,4
4272,20/04/2021,Dadra and Nagar Haveli and Daman and Diu,5102,1136,3962,4
4273,21/04/2021,Dadra and Nagar Haveli and Daman and Diu,5422,1371,4047,4
4274,22/04/2021,Dadra and Nagar Haveli and Daman and Diu,5672,1518,4150,4
4275,23/04/2021,Dadra and Nagar Haveli and Daman and Diu,5910,1668,4238,4
4276,24/04/2021,Dadra and Nagar Haveli and Daman and Diu,6142,1785,4353,4
4277,25/04/2021,Dadra and Nagar Haveli and Daman and Diu,6379,1904,4471,4
4278,26/04/2021,Dadra and Nagar Haveli and Daman and Diu,6580,1999,4577,4
4279,27/04/2021,Dadra and Nagar Haveli and Daman and Diu,6726,2022,4700,4
4280,28/04/2021,Dadra and Nagar Haveli and Daman and Diu,6912,2025,4883,4
4281,29/04/2021,Dadra and Nagar Haveli and Daman and Diu,7067,1979,5084,4
4282,30/04/2021,Dadra and Nagar Haveli and Daman and Diu,7334,2081,5249,4
4283,01/05/2021,Dadra and Nagar Haveli and Daman and Diu,7504,1933,5567,4
4284,02/05/2021,Dadra and Nagar Haveli and Daman and Diu,7712,1867,5841,4
4285,03/05/2021,Dadra and Nagar Haveli and Daman and Diu,7871,1764,6103,4
4286,04/05/2021,Dadra and Nagar Haveli and Daman and Diu,8008,1670,6334,4
4287,05/05/2021,Dadra and Nagar Haveli and Daman and Diu,8174,1606,6564,4
4288,06/05/2021,Dadra and Nagar Haveli and Daman and Diu,8325,1599,6722,4
4289,07/05/2021,Dadra and Nagar Haveli and Daman and Diu,8502,1581,6917,4
4290,08/05/2021,Dadra and Nagar Haveli and Daman and Diu,8596,1457,7135,4
4291,09/05/2021,Dadra and Nagar Haveli and Daman and Diu,8737,1425,7308,4
4292,10/05/2021,Dadra and Nagar Haveli and Daman and Diu,8847,1320,7523,4
4293,11/05/2021,Dadra and Nagar Haveli and Daman and Diu,8928,1202,7722,4
4294,12/05/2021,Dadra and Nagar Haveli and Daman and Diu,9021,1103,7914,4
4295,13/05/2021,Dadra and Nagar Haveli and Daman and Diu,9150,1060,8086,4
4296,14/05/2021,Dadra and Nagar Haveli and Daman and Diu,9150,1060,8086,4
4297,15/05/2021,Dadra and Nagar Haveli and Daman and Diu,9257,1056,8197,4
4298,16/05/2021,Dadra and Nagar Haveli and Daman and Diu,9447,867,8576,4
4299,17/05/2021,Dadra and Nagar Haveli and Daman and Diu,9550,801,8745,4
4300,18/05/2021,Dadra and Nagar Haveli and Daman and Diu,9599,750,8845,4
4301,19/05/2021,Dadra and Nagar Haveli and Daman and Diu,9652,704,8944,4
4302,20/05/2021,Dadra and Nagar Haveli and Daman and Diu,9748,656,9088,4
4303,21/05/2021,Dadra and Nagar Haveli and Daman and Diu,9850,672,9174,4
4304,22/05/2021,Dadra and Nagar Haveli and Daman and Diu,9880,607,9269,4
4305,23/05/2021,Dadra and Nagar Haveli and Daman and Diu,9925,531,9390,4
4306,24/05/2021,Dadra and Nagar Haveli and Daman and Diu,9987,521,9462,4
4307,25/05/2021,Dadra and Nagar Haveli and Daman and Diu,10049,439,9606,4
4308,26/05/2021,Dadra and Nagar Haveli and Daman and Diu,10092,431,9657,4
4309,27/05/2021,Dadra and Nagar Haveli and Daman and Diu,10129,375,9750,4
4310,28/05/2021,Dadra and Nagar Haveli and Daman and Diu,10152,370,9778,4
4311,30/05/2021,Dadra and Nagar Haveli and Daman and Diu,10214,333,9877,4
4312,31/05/2021,Dadra and Nagar Haveli and Daman and Diu,10256,339,9913,4
4313,01/06/2021,Dadra and Nagar Haveli and Daman and Diu,10286,325,9957,4
4314,02/06/2021,Dadra and Nagar Haveli and Daman and Diu,10300,285,10011,4
4315,03/06/2021,Dadra and Nagar Haveli and Daman and Diu,10331,282,10045,4
4316,04/06/2021,Dadra and Nagar Haveli and Daman and Diu,10345,250,10091,4
4317,05/06/2021,Dadra and Nagar Haveli and Daman and Diu,10377,112,10261,4
4318,06/06/2021,Dadra and Nagar Haveli and Daman and Diu,10387,122,10261,4
4319,07/06/2021,Dadra and Nagar Haveli and Daman and Diu,10394,129,10261,4
4320,08/06/2021,Dadra and Nagar Haveli and Daman and Diu,10419,154,10261,4
4321,09/06/2021,Dadra and Nagar Haveli and Daman and Diu,10427,161,10262,4
4322,10/06/2021,Dadra and Nagar Haveli and Daman and Diu,10437,137,10296,4
4323,11/06/2021,Dadra and Nagar Haveli and Daman and Diu,10445,121,10320,4
4324,12/06/2021,Dadra and Nagar Haveli and Daman and Diu,10456,109,10343,4
4325,13/06/2021,Dadra and Nagar Haveli and Daman and Diu,10462,95,10363,4
4326,14/06/2021,Dadra and Nagar Haveli and Daman and Diu,10463,78,10381,4
4327,15/06/2021,Dadra and Nagar Haveli and Daman and Diu,10464,59,10401,4
4328,16/06/2021,Dadra and Nagar Haveli and Daman and Diu,10473,61,10408,4
4329,17/06/2021,Dadra and Nagar Haveli and Daman and Diu,10481,65,10412,4
4330,18/06/2021,Dadra and Nagar Haveli and Daman and Diu,10492,71,10417,4
4331,19/06/2021,Dadra and Nagar Haveli and Daman and Diu,10500,71,10425,4
4332,20/06/2021,Dadra and Nagar Haveli and Daman and Diu,10510,74,10432,4
4333,21/06/2021,Dadra and Nagar Haveli and Daman and Diu,10514,68,10442,4
4334,22/06/2021,Dadra and Nagar Haveli and Daman and Diu,10516,60,10452,4
4335,23/06/2021,Dadra and Nagar Haveli and Daman and Diu,10520,61,10455,4
4336,25/06/2021,Dadra and Nagar Haveli and Daman and Diu,10526,59,10463,4
4337,26/06/2021,Dadra and Nagar Haveli and Daman and Diu,10530,52,10474,4
4338,27/06/2021,Dadra and Nagar Haveli and Daman and Diu,10534,45,10485,4
4339,28/06/2021,Dadra and Nagar Haveli and Daman and Diu,10539,45,10490,4
4340,29/06/2021,Dadra and Nagar Haveli and Daman and Diu,10547,42,10501,4
4341,30/06/2021,Dadra and Nagar Haveli and Daman and Diu,10555,44,10507,4
4342,01/07/2021,Dadra and Nagar Haveli and Daman and Diu,10560,45,10511,4
4343,02/07/2021,Dadra and Nagar Haveli and Daman and Diu,10561,43,10514,4
4344,03/07/2021,Dadra and Nagar Haveli and Daman and Diu,10565,43,10518,4
4345,04/07/2021,Dadra and Nagar Haveli and Daman and Diu,10567,41,10522,4
4346,05/07/2021,Dadra and Nagar Haveli and Daman and Diu,10569,38,10527,4
